date,poc,vah,val,var,ibh,ibl,ibr,ib_broken_up,ib_broken_dn,fa_up,fa_dn,session_high,session_low,open_price,close_price,total_tpos
2025-04-03,76300.0,76450.0,76250.0,200.0,76423.82,75807.55,616.2700000000041,True,False,True,False,76493.74,75807.55,75811.86,76272.54,48
2025-04-04,75450.0,75750.0,75250.0,500.0,76258.12,75488.98,769.1399999999994,False,True,False,False,76258.12,75240.55,76160.09,75405.27,71
2025-04-07,72450.0,72850.0,72100.0,750.0,73149.12,71425.01,1724.1100000000006,True,False,False,False,73403.99,71425.01,71449.94,73325.05,138
2025-04-08,74200.0,74700.0,73900.0,800.0,74421.65,73797.13,624.5199999999895,True,True,True,True,74859.39,73424.92,74013.73,74273.58,128
2025-04-09,73850.0,73950.0,73750.0,200.0,74103.83,73673.06,430.7700000000041,False,False,False,False,74103.83,73673.06,74103.83,73898.12,54
2025-04-11,75100.0,75350.0,74950.0,400.0,75319.35,74762.84,556.5100000000093,True,False,True,False,75467.33,74762.84,74835.49,75227.74,70
2025-04-15,76750.0,76850.0,76650.0,200.0,76907.63,76435.07,472.5599999999977,False,False,False,False,76907.63,76435.07,76852.06,76781.88,45
2025-04-16,76700.0,76900.0,76550.0,350.0,77000.63,76569.59,431.04000000000815,True,True,False,True,77110.23,76543.77,76996.78,77022.45,61
2025-04-17,76950.0,78200.0,76650.0,1550.0,77099.1,76665.77,433.33000000000175,True,False,False,False,78616.77,76665.77,76968.02,78497.04,86
2025-04-21,79450.0,79650.0,79150.0,500.0,79260.64,78776.06,484.58000000000175,True,False,False,False,79635.05,78776.06,78903.09,79366.01,61
2025-04-22,79600.0,79750.0,79550.0,200.0,79728.39,79253.44,474.9499999999971,True,False,True,False,79824.3,79253.44,79728.39,79468.84,51
2025-04-23,80000.0,80150.0,79750.0,400.0,80254.55,79718.3,536.25,False,True,False,True,80254.55,79506.9,80142.09,79996.56,65
2025-04-24,79850.0,80050.0,79800.0,250.0,80173.92,79829.11,344.8099999999977,False,True,False,False,80173.92,79724.55,80058.43,79801.99,47
