underlying,target,n,win_rate,avg_return,final_equity
KAYNES,50,24,79.2,25.34,317050.0
BDL,50,29,72.4,18.52,301215.0
TRENT,50,35,71.4,16.76,317856.0
NBCC,50,31,71.0,18.03,281645.0
PAGEIND,50,37,70.3,16.13,313386.0
INOXWIND,50,30,70.0,19.02,306456.0
PGEL,50,23,69.6,16.87,203525.0
SAMMAANCAP,50,16,68.8,7.33,127815.0
HEROMOTOCO,50,41,68.3,17.03,371087.0
BHEL,50,45,66.7,14.78,366106.0
SUNPHARMA,50,33,66.7,16.29,280593.0
NIFTYNXT50,50,9,66.7,11.3,134128.0
PAYTM,50,48,66.7,13.24,313565.0
FORTIS,50,21,66.7,13.48,174005.0
HINDALCO,50,39,64.1,5.61,181892.0
ETERNAL,50,50,64.0,13.23,335822.0
TATAELXSI,50,33,63.6,12.22,223490.0
APLAPOLLO,50,27,63.0,12.32,188384.0
PFC,50,43,62.8,9.47,196565.0
ASTRAL,50,40,62.5,10.3,232688.0
COLPAL,50,37,62.2,9.39,204846.0
SUPREMEIND,50,29,62.1,10.77,167724.0
BANDHANBNK,50,42,61.9,7.66,188236.0
TATATECH,50,39,61.5,9.27,196508.0
GMRAIRPORT,50,39,61.5,10.69,216776.0
AMBUJACEM,50,44,61.4,10.71,247759.0
IRFC,50,41,61.0,9.55,196649.0
BHARATFORG,50,41,61.0,8.33,189407.0
FEDERALBNK,50,46,60.9,10.78,235044.0
GRASIM,50,28,60.7,5.93,132031.0
MUTHOOTFIN,50,35,60.0,9.38,187811.0
