date,poc,vah,val,var,ibh,ibl,ibr,ib_broken_up,ib_broken_dn,fa_up,fa_dn,session_high,session_low,open_price,close_price,total_tpos
2025-04-03,23250,23300,23250,50,23282.45,23145.8,136.65000000000146,True,False,True,False,23306.5,23145.8,23150.3,23241.6,447
2025-04-04,22950,23000,22850,150,23214.7,22940.95,273.75,False,True,False,False,23214.7,22857.45,23190.4,22912.05,474
2025-04-07,21950,22050,21850,200,22190.0,21743.65,446.34999999999854,True,False,False,False,22254.0,21743.65,21758.4,22238.0,542
2025-04-08,22500,22650,22350,300,22577.55,22378.15,199.39999999999782,True,True,True,True,22697.2,22270.85,22446.75,22547.2,530
2025-04-09,22400,22450,22350,100,22468.7,22356.6,112.10000000000218,False,True,False,True,22468.7,22353.25,22460.3,22420.4,473
2025-04-11,22800,22900,22750,150,22874.45,22695.4,179.04999999999927,True,False,True,False,22923.9,22695.4,22695.4,22844.5,448
2025-04-15,23300,23350,23300,50,23368.35,23207.0,161.34999999999854,False,False,False,False,23368.35,23207.0,23368.35,23344.1,415
2025-04-16,23300,23450,23300,150,23372.75,23277.0,95.75,True,True,False,True,23452.2,23273.05,23344.1,23433.3,461
2025-04-17,23800,23900,23350,550,23434.6,23298.55,136.04999999999927,True,False,False,False,23872.35,23298.55,23401.85,23837.75,477
2025-04-21,24100,24200,24000,200,24061.45,23903.65,157.79999999999927,True,False,False,False,24189.55,23903.65,23949.15,24121.2,451
2025-04-22,24150,24250,24150,100,24202.6,24072.0,130.59999999999854,True,False,True,False,24242.6,24072.0,24185.4,24134.05,414
2025-04-23,24200,24350,24200,150,24359.3,24189.55,169.75,False,True,False,True,24359.3,24119.95,24357.6,24300.85,448
2025-04-24,24250,24300,24250,50,24347.85,24239.45,108.39999999999782,False,True,False,True,24347.85,24216.15,24277.9,24245.05,458
2025-04-25,24050,24100,23900,200,24365.45,23950.15,415.2999999999993,False,True,False,True,24365.45,23847.85,24289.0,24039.35,480
2025-04-28,24300,24350,24250,100,24279.3,24054.05,225.25,True,False,False,False,24355.1,24054.05,24070.25,24312.9,440
2025-04-29,24300,24400,24300,100,24457.65,24290.75,166.90000000000146,False,False,False,False,24457.65,24290.75,24370.7,24325.45,449
2025-04-30,24300,24400,24300,100,24395.2,24268.8,126.40000000000146,True,True,True,True,24396.15,24198.75,24342.05,24334.2,438
2025-05-02,24300,24450,24250,200,24589.15,24305.85,283.3000000000029,False,True,False,True,24589.15,24238.5,24311.9,24313.65,472
2025-05-05,24450,24500,24400,100,24511.3,24400.65,110.64999999999782,True,False,True,False,24526.4,24400.65,24419.5,24459.5,439
2025-05-06,24350,24400,24350,50,24509.65,24379.8,129.85000000000218,False,True,False,False,24509.65,24331.8,24500.75,24335.9,418
2025-05-07,24350,24450,24350,100,24449.6,24220.0,229.59999999999854,False,False,False,False,24449.6,24220.0,24233.3,24409.3,444
2025-05-08,24350,24450,24350,100,24447.25,24373.45,73.79999999999927,False,True,False,False,24447.25,24150.2,24431.5,24273.8,479
2025-05-09,24000,24050,23950,100,24164.25,23935.75,228.5,False,False,False,False,24164.25,23935.75,23935.75,24038.65,468
2025-05-12,24700,24900,24650,250,24737.8,24378.85,358.9500000000007,True,False,False,False,24944.8,24378.85,24420.1,24920.25,439
2025-05-13,24700,24800,24550,250,24973.8,24675.6,298.2000000000007,False,True,False,False,24973.8,24547.5,24864.05,24578.35,535
2025-05-14,24600,24750,24600,150,24758.55,24581.75,176.79999999999927,True,True,True,True,24767.55,24535.55,24613.8,24685.75,440
2025-05-15,24600,25100,24550,550,24706.75,24494.45,212.29999999999927,True,False,False,False,25116.25,24494.45,24694.45,25035.3,507
2025-05-16,25000,25050,24950,100,25070.0,24975.8,94.20000000000073,False,True,False,True,25070.0,24953.05,25064.65,25013.1,450
2025-05-19,25000,25050,24950,100,25058.7,24965.8,92.90000000000146,True,True,True,False,25062.95,24916.65,25005.35,24935.35,422
2025-05-20,24850,24950,24650,300,25010.35,24863.4,146.9499999999971,False,True,False,False,25010.35,24669.7,24996.2,24713.85,448
2025-05-21,24750,24900,24750,150,24870.2,24692.65,177.54999999999927,True,True,True,True,24946.2,24685.35,24744.25,24813.45,466
2025-05-22,24550,24650,24500,150,24737.5,24541.6,195.90000000000146,False,True,False,True,24737.5,24462.4,24733.95,24637.0,463
2025-05-23,24850,24900,24800,100,24826.65,24614.05,212.60000000000218,True,False,False,False,24909.05,24614.05,24639.5,24845.15,437
2025-05-26,24950,25050,24950,100,25079.2,24900.5,178.70000000000073,False,False,False,False,25079.2,24900.5,24919.35,24996.35,464
2025-05-27,24800,24900,24750,150,24976.1,24737.7,238.39999999999782,True,True,True,True,25062.9,24704.1,24956.65,24837.7,460
2025-05-28,24750,24800,24750,50,24864.25,24743.05,121.20000000000073,False,True,False,True,24864.25,24737.05,24832.5,24757.15,408
2025-05-29,24700,24800,24700,100,24889.7,24779.7,110.0,True,True,True,True,24892.6,24677.3,24825.1,24880.85,474
2025-05-30,24750,24800,24700,100,24863.95,24780.0,83.95000000000073,False,True,False,False,24863.95,24717.4,24812.6,24736.65,440
2025-06-02,24700,24750,24600,150,24717.55,24526.15,191.39999999999782,True,False,True,False,24754.4,24526.15,24669.7,24690.35,429
2025-06-03,24600,24650,24500,150,24845.1,24601.3,243.79999999999927,False,True,False,False,24845.1,24502.15,24786.3,24538.4,451
2025-06-04,24550,24650,24550,100,24612.75,24530.45,82.29999999999927,True,False,True,False,24644.25,24530.45,24560.45,24612.0,425
